ID;Active;Name;Parent Name;Root Category
3;1;KATEGORIE;Strona główna;0
4;1;Zdrowie i kondycja;KATEGORIE;0
5;1;Witaminy i minerały;Zdrowie i kondycja;0
6;1;Elektrolity;Witaminy i minerały;0
7;1;Odżywki i suplementy;KATEGORIE;0
8;1;Ochrona stawów;Odżywki i suplementy;0
9;1;Kolagen;Ochrona stawów;0
10;1;Zdrowie;Zdrowie i kondycja;0
11;1;Odporność i wzmocnienie;Zdrowie;0
12;1;Witaminy;Witaminy i minerały;0
13;1;Kreatyna;Odżywki i suplementy;0
14;1;Monohydrat kreatyny;Kreatyna;0
15;1;Zestaw witamin i minerałów;Witaminy i minerały;0
16;1;Białko;Odżywki i suplementy;0
17;1;Białko serwatkowe;Białko;0
18;1;Zdrowa Żywność;KATEGORIE;0
19;1;Napoje;Zdrowa Żywność;0
20;1;Napoje do przygotowania;Napoje;0
21;1;Redukcja stresu i sen;Zdrowie;0
22;1;Kuchnia i dieta;Zdrowa Żywność;0
23;1;Masła i kremy;Kuchnia i dieta;0
24;1;Przyprawy i aromaty;Kuchnia i dieta;0
25;1;Adaptogeny;Zdrowie;0
26;1;Zamienniki cukru;Kuchnia i dieta;0
27;1;Dla mężczyzn;Odżywki i suplementy;0
28;1;Boostery testosteronu;Dla mężczyzn;0
29;1;Minerały;Witaminy i minerały;0
30;1;Akcesoria i ubrania;KATEGORIE;0
31;1;Akcesoria treningowe;Akcesoria i ubrania;0
32;1;Pozostałe akcesoria;Akcesoria treningowe;0
33;1;Galaretki i kisiele;Kuchnia i dieta;0
34;1;Shakery i kanistry;Akcesoria treningowe;0
35;1;Izolat białka;Białko;0
36;1;Kazeina micelarna;Białko;0
37;1;Antyoksydanty;Zdrowie;0
38;1;Słodycze i przekąski;Zdrowa Żywność;0
39;1;Pozostałe słodycze i przekąski;Słodycze i przekąski;0
40;1;Odżywki Przedtreningowe;Odżywki i suplementy;0
41;1;Cytrulina;Odżywki Przedtreningowe;0
42;1;Przedtreningówka;Odżywki Przedtreningowe;0
43;1;Sosy i syropy;Kuchnia i dieta;0
44;1;Mieszanki białek;Białko;0
45;1;Aminokwasy;Odżywki i suplementy;0
46;1;EAA;Aminokwasy;0
47;1;Beta Alanina;Odżywki Przedtreningowe;0
48;1;Danie gotowe;Zdrowa Żywność;0
49;1;Obiady;Danie gotowe;0
50;1;Odzież treningowa;Akcesoria i ubrania;0
51;1;Bokserki i koszulki;Odzież treningowa;0
52;1;Arginina i cytrulina;Odżywki Przedtreningowe;0
53;1;Budynie i kaszki;Kuchnia i dieta;0
54;1;Odżywki na masę;Odżywki i suplementy;0
55;1;Gainery - Odżywki na masę;Odżywki na masę;0
56;1;Glutamina;Aminokwasy;0
57;1;Odżywki Potreningowe;Odżywki i suplementy;0
58;1;Carbo / Węglowodany / Izotoniki;Odżywki Potreningowe;0
59;1;Batony;Słodycze i przekąski;0
60;1;Shoty;Odżywki i suplementy;0
61;1;Shoty przed treningiem;Shoty;0
62;1;Energia i koncentracja;Zdrowie i kondycja;0
63;1;Pobudzenie;Energia i koncentracja;0
64;1;Dżemy i frużeliny;Kuchnia i dieta;0
65;1;Czekolady;Słodycze i przekąski;0
66;1;Kawy i herbaty;Napoje;0
67;1;Batony energetyczne;Słodycze i przekąski;0
68;1;Rękawiczki treningowe;Akcesoria treningowe;0
69;1;Żele energetyczne;Odżywki Potreningowe;0
70;1;Oleje i tłuszcze;Kuchnia i dieta;0
71;1;Musli i granole;Kuchnia i dieta;0
72;1;Nerki;Odzież treningowa;0
73;1;Pozostałe kreatyny;Kreatyna;0
74;1;Owoce liofilizowane i suszone;Słodycze i przekąski;0
75;1;Czapki;Odzież treningowa;0
76;1;Koncentracja;Energia i koncentracja;0
77;1;TCM - jabłczan kreatyny;Kreatyna;0
78;1;MSM;Ochrona stawów;0
79;1;Pozostałe produkty;Dla mężczyzn;0
80;1;Odchudzanie i trawienie;Zdrowie i kondycja;0
81;1;Probiotyki;Odchudzanie i trawienie;0
82;1;Gumy do ćwiczeń;Akcesoria treningowe;0
83;1;Ciastka;Słodycze i przekąski;0
84;1;Shoty pozostałe;Shoty;0
85;1;Orzechy;Słodycze i przekąski;0
86;1;Pozostałe aminokwasy;Aminokwasy;0
87;1;Skóra, włosy, paznokcie;Zdrowie;0
88;1;Spalacze tłuszczu;Odżywki i suplementy;0
89;1;Ze stymulantami;Spalacze tłuszczu;0
90;1;Trawienie;Odchudzanie i trawienie;0
91;1;Naleśniki proteinowe;Kuchnia i dieta;0
92;1;Bez stymulantów;Spalacze tłuszczu;0
93;1;Wątroba;Odchudzanie i trawienie;0
94;1;Miksy składnikowe;Ochrona stawów;0
95;1;Pozostałe produkty;Kuchnia i dieta;0
96;1;Aminokwasy BCAA;Aminokwasy;0
97;1;Białko wegańskie/ roślinne;Białko;0
98;1;Wzrok i oczy;Zdrowie;0
99;1;Prozdrowotne;KATEGORIE;0
100;1;Glukozamina;Ochrona stawów;0
101;1;Superfoods;Kuchnia i dieta;0
102;1;Izotoniki;Odżywki Potreningowe;0
103;1;Mąki;Kuchnia i dieta;0
104;1;Lody proteinowe;Kuchnia i dieta;0
105;1;Pozostałe napoje;Napoje;0
106;1;Miksy składnikowe;Odżywki Potreningowe;0
107;1;Zdrowie i kondycja;KATEGORIE;0
