ID;Active;Name;Parent Name;Root Category
3;1;KATEGORIE;Strona główna;0
4;1;Zdrowie i kondycja;KATEGORIE;0
5;1;Witaminy i minerały;Zdrowie i kondycja;0
6;1;Witaminy;Witaminy i minerały;0
7;1;Zestaw witamin i minerałów;Witaminy i minerały;0
8;1;Zdrowie;Zdrowie i kondycja;0
9;1;Odporność i wzmocnienie;Zdrowie;0
10;1;Odżywki i suplementy;KATEGORIE;0
11;1;Ochrona stawów;Odżywki i suplementy;0
12;1;Kolagen;Ochrona stawów;0
13;1;Białko;Odżywki i suplementy;0
14;1;Białko serwatkowe;Białko;0
15;1;Kreatyna;Odżywki i suplementy;0
16;1;Monohydrat kreatyny;Kreatyna;0
17;1;Elektrolity;Witaminy i minerały;0
18;1;Zdrowa Żywność;KATEGORIE;0
19;1;Kuchnia i dieta;Zdrowa Żywność;0
20;1;Masła i kremy;Kuchnia i dieta;0
21;1;Redukcja stresu i sen;Zdrowie;0
22;1;Napoje;Zdrowa Żywność;0
23;1;Napoje do przygotowania;Napoje;0
24;1;Przyprawy i aromaty;Kuchnia i dieta;0
25;1;Dla mężczyzn;Odżywki i suplementy;0
26;1;Boostery testosteronu;Dla mężczyzn;0
27;1;Zamienniki cukru;Kuchnia i dieta;0
28;1;Adaptogeny;Zdrowie;0
29;1;Akcesoria i ubrania;KATEGORIE;0
30;1;Akcesoria treningowe;Akcesoria i ubrania;0
31;1;Shakery i kanistry;Akcesoria treningowe;0
32;1;Galaretki i kisiele;Kuchnia i dieta;0
33;1;Pozostałe akcesoria;Akcesoria treningowe;0
34;1;Minerały;Witaminy i minerały;0
35;1;Izolat białka;Białko;0
36;1;Kazeina micelarna;Białko;0
37;1;Mieszanki białek;Białko;0
38;1;Sosy i syropy;Kuchnia i dieta;0
39;1;Odżywki Przedtreningowe;Odżywki i suplementy;0
40;1;Przedtreningówka;Odżywki Przedtreningowe;0
41;1;Antyoksydanty;Zdrowie;0
42;1;Cytrulina;Odżywki Przedtreningowe;0
43;1;Słodycze i przekąski;Zdrowa Żywność;0
44;1;Pozostałe słodycze i przekąski;Słodycze i przekąski;0
45;1;Beta Alanina;Odżywki Przedtreningowe;0
46;1;Aminokwasy;Odżywki i suplementy;0
47;1;EAA;Aminokwasy;0
48;1;Danie gotowe;Zdrowa Żywność;0
49;1;Obiady;Danie gotowe;0
50;1;Odzież treningowa;Akcesoria i ubrania;0
51;1;Bokserki i koszulki;Odzież treningowa;0
52;1;Arginina i cytrulina;Odżywki Przedtreningowe;0
53;1;Budynie i kaszki;Kuchnia i dieta;0
